ar,ma,garch.p,garch.q,AIC,BIC
0,0,1,3,-3.5838386182443,-3.56874454902234
0,0,3,3,-3.58254840687783,-3.56141670996708
0,0,2,1,-3.58147266128317,-3.5693974059056
0,0,2,2,-3.5803767690581,-3.56528269983613
0,0,3,1,-3.58028131882107,-3.56518724959911
0,0,1,1,-3.57935363816248,-3.5702971966293
0,0,3,2,-3.57918541839049,-3.56107253532414
0,0,2,3,-3.578855349348,-3.56074246628165
0,0,1,2,-3.5778635532485,-3.56578829787093
0,0,0,1,-3.47286742256587,-3.46682979487708
0,0,0,2,-3.47189551347843,-3.46283907194525
0,0,0,3,-3.47083195886313,-3.45875670348556
