ar,ma,garch.p,garch.q,AIC,BIC
2,1,1,1,-3.84016788569696,-3.81601737494182
1,2,1,1,-3.83974128139324,-3.8155907706381
2,1,1,2,-3.83964132355378,-3.81247199895424
0,0,1,1,-3.82714568992771,-3.81205162070575
1,2,1,2,-3.83919536505456,-3.81202604045503
2,2,1,1,-3.839153103989,-3.81198377938947
1,0,1,1,-3.82998564303767,-3.81187275997131
0,1,1,1,-3.82973125971202,-3.81161837664566
1,3,1,1,-3.83850708378114,-3.81133775918161
3,1,1,1,-3.83848791456218,-3.81131858996265
2,1,2,1,-3.83948235627387,-3.80929421782994
0,2,1,1,-3.83003062831839,-3.80889893140765
1,2,2,1,-3.83908409478901,-3.80889595634508
2,0,1,1,-3.82992944172635,-3.8087977448156
1,1,1,1,-3.82969612681216,-3.80856442990141
2,2,1,2,-3.83864024463461,-3.80845210619069
2,1,1,3,-3.83817178842852,-3.8079836499846
0,0,1,2,-3.82607534273595,-3.8079624596696
1,3,1,2,-3.83799767821993,-3.807809539776
1,0,1,2,-3.82892958994473,-3.80779789303398
3,1,1,2,-3.83797863280378,-3.80779049435985
1,2,1,3,-3.83773266920421,-3.80754453076028
0,1,1,2,-3.82865800007281,-3.80752630316206
3,2,1,1,-3.83768369412294,-3.80749555567901
2,3,1,1,-3.83764372718957,-3.80745558874564
1,4,1,1,-3.83713620281954,-3.80694806437561
4,1,1,1,-3.8369134947514,-3.80672535630747
0,0,2,1,-3.8277146604448,-3.80658296353405
1,0,2,1,-3.82964396747682,-3.80549345672168
2,1,2,2,-3.8386643691583,-3.80545741686998
0,1,2,1,-3.82944301110203,-3.80529250034689
2,2,2,1,-3.83847430351393,-3.80526735122561
0,2,1,2,-3.82933934535849,-3.80518883460335
2,0,1,2,-3.82922615726594,-3.8050756465108
1,2,2,2,-3.838258379469,-3.80505142718068
2,1,1,4,-3.83818959268227,-3.80498264039395
1,3,2,1,-3.83785610167903,-3.80464914939071
3,1,2,1,-3.83783551977287,-3.80462856748456
3,0,1,1,-3.82874260322744,-3.8045920924723
0,3,1,1,-3.82871057407902,-3.80456006332388
1,1,1,2,-3.82868575237995,-3.8045352416248
4,3,1,1,-3.84072110787705,-3.80449534174434
1,2,1,4,-3.83769121716952,-3.8044842648812
3,4,1,1,-3.8404825474416,-3.80425678130889
3,2,1,2,-3.83718727684848,-3.80398032456016
2,3,1,2,-3.83717589317587,-3.80396894088755
2,2,1,3,-3.83716897489196,-3.80396202260364
1,3,1,3,-3.8369088163204,-3.80370186403208
3,1,1,3,-3.83689099127662,-3.8036840389883
2,2,3,3,-3.84891992695163,-3.80363771928574
0,0,1,3,-3.82463388291764,-3.80350218600689
1,4,1,2,-3.8365946201061,-3.80338766781778
1,0,1,3,-3.8275093001458,-3.80335878939066
3,3,1,1,-3.83650765304201,-3.8033007007537
4,1,1,2,-3.83637357417275,-3.80316662188443
2,4,1,1,-3.83630505000576,-3.80309809771744
0,1,1,3,-3.82723814174735,-3.80308763099221
0,2,2,1,-3.82989938895796,-3.80273006435843
4,2,1,1,-3.83587147194667,-3.80266451965835
