ar,ma,garch.p,garch.q,AIC,BIC
2,1,1,1,-3.82550170340786,-3.80738882034151
1,2,1,1,-3.82515112948421,-3.80703824641785
0,0,1,1,-3.81404416242551,-3.80498772089234
2,1,1,2,-3.82512445479114,-3.8039927578804
1,2,1,2,-3.82475480280852,-3.80362310589777
2,2,1,1,-3.82451632345513,-3.80338462654439
1,0,1,1,-3.81541970124318,-3.80334444586561
2,1,2,1,-3.82440580939171,-3.80327411248096
0,1,1,1,-3.81525167026471,-3.80317641488714
1,2,2,1,-3.82405523812429,-3.80292354121354
1,3,1,1,-3.82398597327877,-3.80285427636802
3,1,1,1,-3.82393344894716,-3.80280175203641
0,0,1,2,-3.81311015752718,-3.80103490214961
0,0,2,1,-3.81257338471179,-3.80049812933422
0,2,1,1,-3.81539487033606,-3.80030080111409
2,1,1,3,-3.82435254902402,-3.80020203826888
2,0,1,1,-3.81525331962407,-3.80015925040211
2,2,1,2,-3.82414815023699,-3.79999763948185
2,1,2,2,-3.82402772304599,-3.79987721229085
1,1,1,1,-3.81497053838326,-3.7998764691613
1,2,1,3,-3.82394540176706,-3.79979489101192
1,2,2,2,-3.82365891130046,-3.79950840054532
1,3,1,2,-3.82362710169545,-3.79947659094031
3,1,1,2,-3.82357080339233,-3.79942029263719
1,0,1,2,-3.81448545897894,-3.79939138975698
2,2,2,1,-3.82342043041707,-3.79926991966193
0,1,1,2,-3.81430537385594,-3.79921130463398
2,1,3,1,-3.82330288671447,-3.79915237595933
3,2,1,1,-3.82322379465003,-3.79907328389488
2,3,1,1,-3.82319702730287,-3.79904651654773
1,0,2,1,-3.81395331161331,-3.79885924239135
1,2,3,1,-3.82293598827983,-3.79878547752469
1,3,2,1,-3.82289008197176,-3.79873957121662
0,1,2,1,-3.81378493443507,-3.7986908652131
3,1,2,1,-3.82283755861958,-3.79868704786443
1,4,1,1,-3.82255944192436,-3.79840893116922
4,1,1,1,-3.8223847146197,-3.79823420386456
2,4,2,1,-3.82779929038252,-3.79761115193859
0,0,1,3,-3.81206991057003,-3.79697584134807
0,0,2,2,-3.81201426494874,-3.79692019572678
0,2,1,2,-3.81489160310448,-3.79677872003813
2,0,1,2,-3.81474433289286,-3.7966314498265
2,1,4,1,-3.82369288542131,-3.79652356082178
0,0,3,1,-3.8115048213344,-3.79641075211244
3,0,1,1,-3.81445751555891,-3.79634463249256
0,3,1,1,-3.81440815523206,-3.7962952721657
2,1,2,3,-3.82343629071665,-3.79626696611712
2,2,1,3,-3.8233870133719,-3.79621768877237
0,2,2,1,-3.81429897603577,-3.79618609296942
2,1,1,4,-3.82333123795913,-3.7961619133596
1,2,4,1,-3.82327013178481,-3.79610080718527
1,3,1,3,-3.82322930257961,-3.79605997798007
2,0,2,1,-3.81415742718651,-3.79604454412016
3,1,1,3,-3.82316224351406,-3.79599291891453
1,1,1,2,-3.81407524109902,-3.79596235803267
4,3,1,1,-3.82609725743375,-3.79590911898983
2,2,2,2,-3.82305225918784,-3.79588293458831
1,2,2,3,-3.82304526603967,-3.79587594144014
1,2,1,4,-3.82293266674034,-3.79576334214081
3,2,1,2,-3.82285058355131,-3.79568125895178
2,3,1,2,-3.82281526990361,-3.79564594530408
3,4,1,1,-3.82575653792564,-3.79556839948171
2,1,3,2,-3.82266436016687,-3.79549503556734
1,0,1,3,-3.81354752967272,-3.79543464660637
1,1,2,1,-3.81350549851784,-3.79539261545148
1,3,2,2,-3.82253121068345,-3.79536188608392
3,1,2,2,-3.82247491213622,-3.79530558753669
1,0,2,2,-3.81338924200297,-3.79527635893661
0,1,1,3,-3.81334372343065,-3.79523084036429
2,4,3,1,-3.82841565709206,-3.79520870480374
2,2,3,1,-3.82235601696742,-3.79518669236788
1,2,3,2,-3.82229282883957,-3.79512350424003
0,1,2,2,-3.81320947565119,-3.79509659258484
1,3,3,1,-3.82220162566883,-3.7950323010693
1,4,1,2,-3.82218010241869,-3.79501077781916
3,1,3,1,-3.82214296174953,-3.79497363714999
3,2,2,1,-3.82212790164039,-3.79495857704085
2,3,2,1,-3.82210113383196,-3.79493180923243
4,1,1,2,-3.82200309217609,-3.79483376757655
1,0,3,1,-3.81293078009614,-3.79481789702979
3,3,1,1,-3.8219486511924,-3.79477932659287
2,4,1,3,-3.82796347873983,-3.79475652645151
2,4,1,1,-3.82186665388295,-3.79469732928341
0,1,3,1,-3.81275471479046,-3.7946418317241
1,4,2,1,-3.82146354862076,-3.79429422402123
4,2,1,1,-3.82136183679566,-3.79419251219613
4,1,2,1,-3.82128882166799,-3.79411949706845
0,0,4,1,-3.81215682529,-3.79404394222365
2,1,4,2,-3.82378581866456,-3.79359768022063
1,2,4,2,-3.82332738652703,-3.79313924808311
0,0,2,3,-3.81116453153722,-3.79305164847086
0,0,1,4,-3.81115388979676,-3.7930410067304
0,2,1,3,-3.81407897336798,-3.79294727645723
2,3,3,3,-3.82912408457733,-3.79289831844462
3,0,1,2,-3.81400396926918,-3.79287227235843
0,3,1,2,-3.81395912704641,-3.79282743013566
2,4,1,4,-3.82901467388658,-3.79278890775386
2,0,1,3,-3.81389503165831,-3.79276333474756
2,2,4,1,-3.82285262690518,-3.79266448846125
0,2,2,2,-3.81379565526958,-3.79266395835884
4,3,1,2,-3.82584143770925,-3.79263448542093
0,0,3,2,-3.8107026220165,-3.79258973895015
1,3,4,1,-3.82276864525641,-3.79258050681248
2,1,3,3,-3.82274477373979,-3.79255663529586
2,0,2,2,-3.81364843861537,-3.79251674170462
1,0,4,1,-3.8136462918378,-3.79251459492706
3,1,4,1,-3.82266756938776,-3.79247943094383
0,1,4,1,-3.81344631238124,-3.7923146154705
0,2,3,1,-3.81341107324439,-3.79227937633364
3,4,1,2,-3.82548296911334,-3.79227601682502
2,2,2,3,-3.82246078483246,-3.79227264638853
3,2,1,3,-3.82244069754353,-3.79225255909961
3,0,2,1,-3.81336162264602,-3.79222992573527
2,3,1,3,-3.82239176793574,-3.79220362949181
2,2,1,4,-3.8223885653185,-3.79220042687457
0,3,2,1,-3.81331226231074,-3.79218056539999
1,2,3,3,-3.82234207347713,-3.7921539350332
2,0,3,1,-3.81326758590993,-3.79213588899919
1,3,2,3,-3.82229205647163,-3.7921039180277
2,1,2,4,-3.82225074296222,-3.7920626045183
3,1,2,3,-3.82223266794605,-3.79204452950212
1,1,1,3,-3.81316474517002,-3.79203304825927
3,1,1,4,-3.82216329309913,-3.79197515465521
4,0,1,1,-3.81308469150974,-3.791952994599
0,4,1,1,-3.81300279979149,-3.79187110288075
