ar,ma,garch.p,garch.q,AIC,BIC
0,0,6,0,-3.61006275735374,-3.58893106044299
0,0,8,0,-3.61495176992419,-3.58778244532466
0,0,5,1,-3.60859089725424,-3.58745920034349
0,0,6,1,-3.6105046673163,-3.58635415656116
0,0,7,0,-3.60912663800786,-3.58497612725272
0,0,5,0,-3.6029718737226,-3.58485899065624
0,0,8,1,-3.61417746196468,-3.58398932352076
0,0,5,2,-3.60812416213893,-3.58397365138379
0,0,5,3,-3.61057991546869,-3.58341059086915
0,0,6,2,-3.60978224158572,-3.58261291698618
0,0,7,1,-3.60947373810376,-3.58230441350423
0,0,4,1,-3.59964272532365,-3.58152984225729
0,0,6,3,-3.61066621500933,-3.5804780765654
0,0,8,2,-3.61308159717674,-3.57987464488842
0,0,5,4,-3.60948400640926,-3.57929586796533
0,0,4,2,-3.59987413740819,-3.57874244049744
0,0,7,2,-3.60840423810468,-3.57821609966075
0,0,4,3,-3.60142435202217,-3.57727384126703
0,0,6,4,-3.60957031619599,-3.57636336390767
0,0,8,3,-3.61245531455257,-3.57622954841986
0,0,7,3,-3.60907069429593,-3.57586374200761
0,0,5,5,-3.60838811336071,-3.57518116107239
0,0,4,4,-3.60164072923169,-3.57447140463215
0,0,6,5,-3.60847442401576,-3.57224865788305
0,0,8,4,-3.61135942601124,-3.57211484603413
0,0,7,4,-3.60797479426059,-3.57174902812788
0,0,5,6,-3.6073877934795,-3.57116202734679
0,0,1,1,-3.57935363816248,-3.5702971966293
0,0,4,5,-3.60022757091484,-3.57003943247092
0,0,5,7,-3.60864385757652,-3.56939927759942
0,0,2,1,-3.58147266128317,-3.5693974059056
0,0,6,6,-3.6083432247371,-3.56909864475999
0,0,1,3,-3.5838386182443,-3.56874454902234
0,0,8,5,-3.61026353163873,-3.56800013781723
0,0,7,5,-3.60687889038246,-3.56763431040535
0,0,6,7,-3.60921675327478,-3.56695335945329
0,0,1,2,-3.5778635532485,-3.56578829787093
0,0,4,6,-3.59888780849466,-3.56568085620634
0,0,2,2,-3.5803767690581,-3.56528269983613
0,0,3,1,-3.58028131882107,-3.56518724959911
0,0,5,8,-3.60709908826637,-3.56483569444487
0,0,8,6,-3.61009133659496,-3.56480912892907
0,0,7,6,-3.60674792926594,-3.56448453544445
0,0,1,4,-3.58231964938264,-3.56420676631629
0,0,7,7,-3.60812500813109,-3.5628428004652
0,0,4,7,-3.59863145575939,-3.56240568962667
0,0,6,8,-3.60764992270408,-3.56236771503819
0,0,8,7,-3.6101692246414,-3.56186820313112
0,0,3,3,-3.58254840687783,-3.56141670996708
0,0,3,2,-3.57918541839049,-3.56107253532414
0,0,2,4,-3.58212003157783,-3.56098833466708
0,0,2,3,-3.578855349348,-3.56074246628165
0,0,1,5,-3.58087083991965,-3.5597391430089
0,0,7,8,-3.6065588102241,-3.55825778871381
0,0,4,8,-3.59713408602786,-3.55788950605075
0,0,8,8,-3.60911040096129,-3.55779056560662
0,0,3,4,-3.58103140198533,-3.55688089123019
0,0,2,5,-3.58069292900883,-3.55654241825369
0,0,4,0,-3.57083841982547,-3.5557443506035
0,0,1,6,-3.57971611737767,-3.55556560662252
0,0,3,5,-3.57960361907481,-3.55243429447528
0,0,2,6,-3.57952032418189,-3.55235099958235
0,0,1,7,-3.5782278616144,-3.55105853701487
0,0,3,6,-3.57843155409044,-3.54824341564651
0,0,2,7,-3.57798752990191,-3.54779939145798
0,0,1,8,-3.57671177624261,-3.54652363779868
0,0,3,7,-3.57690247851644,-3.54369552622812
0,0,2,8,-3.57650503060431,-3.54329807831599
0,0,3,8,-3.57541212293012,-3.53918635679741
0,0,2,0,-3.52218328506362,-3.51312684353045
0,0,1,0,-3.49224881536541,-3.48621118767663
0,0,0,1,-3.47286742256587,-3.46682979487708
0,0,0,2,-3.47189551347843,-3.46283907194525
0,0,0,3,-3.47083195886313,-3.45875670348556
0,0,0,4,-3.46975396428009,-3.45465989505812
0,0,0,5,-3.46866787856363,-3.45055499549727
0,0,0,6,-3.46757810596355,-3.4464464090528
0,0,0,7,-3.46648788378861,-3.44233737303347
0,0,0,8,-3.46539536820905,-3.43822604360951
0,0,3,0,-2.97387899193307,-2.9618037365555
