ar,ma,garch.p,garch.q,AIC,BIC
0,0,1,1,-3.8126910186661,-3.80061576328853
0,0,2,1,-3.81230217754845,-3.79720810832649
0,0,1,2,-3.81180779418773,-3.79671372496576
0,0,2,2,-3.81182822165946,-3.7937153385931
0,0,3,1,-3.81140564787516,-3.7932927648088
0,0,1,3,-3.81079972201681,-3.79268683895046
0,0,3,2,-3.81113557791103,-3.79000388100028
0,0,2,3,-3.81096703588468,-3.78983533897393
0,0,4,1,-3.80997290473069,-3.78884120781994
0,0,1,4,-3.80934145774515,-3.7882097608344
0,0,3,3,-3.81107330161892,-3.78692279086378
0,0,4,2,-3.80968373002413,-3.78553321926899
0,0,2,4,-3.80951930577712,-3.78536879502198
0,0,5,1,-3.80949283096729,-3.78534232021215
0,0,3,4,-3.8096346551214,-3.78246533052187
0,0,4,3,-3.80962020753623,-3.7824508829367
0,0,5,2,-3.80926981742159,-3.78210049282205
0,0,6,1,-3.8085714928895,-3.78140216828997
0,0,5,3,-3.80985570929962,-3.7796675708557
0,0,4,4,-3.80853876452311,-3.77835062607918
0,0,6,2,-3.80815419086866,-3.77796605242474
0,0,7,1,-3.80707091422296,-3.77688277577904
0,0,5,4,-3.80875981859799,-3.77555286630967
0,0,6,3,-3.80866304700574,-3.77545609471742
0,0,7,2,-3.8066772870332,-3.77347033474488
0,0,8,1,-3.8055982854737,-3.77239133318538
0,0,6,4,-3.8075671518525,-3.77134138571979
0,0,7,3,-3.8072143933415,-3.77098862720879
0,0,8,2,-3.80520442941501,-3.7689786632823
0,0,8,3,-3.80570250069437,-3.76645792071727
0,0,5,0,-3.7822683490288,-3.76113665211805
0,0,6,0,-3.78447693482098,-3.76032642406584
0,0,8,0,-3.78808831260943,-3.75790017416551
0,0,7,0,-3.78364852046435,-3.75647919586482
0,0,3,0,-3.77110460959658,-3.75601054037462
0,0,4,0,-3.76995824431471,-3.75184536124835
0,0,2,0,-3.73732178526482,-3.72524652988725
0,0,1,0,-3.71711508385627,-3.7080586423231
0,0,0,2,-3.70747639381317,-3.6954011384356
0,0,0,3,-3.70656899475506,-3.69147492553309
0,0,0,4,-3.70563980066237,-3.68752691759602
0,0,0,1,,
0,0,7,4,,
0,0,8,4,,
0,0,0,5,,
0,0,1,5,,
0,0,2,5,,
0,0,3,5,,
0,0,4,5,,
0,0,5,5,,
0,0,6,5,,
0,0,7,5,,
0,0,8,5,,
0,0,0,6,,
0,0,1,6,,
0,0,2,6,,
0,0,3,6,,
0,0,4,6,,
0,0,5,6,,
0,0,6,6,,
0,0,7,6,,
0,0,8,6,,
0,0,0,7,,
0,0,1,7,,
0,0,2,7,,
0,0,3,7,,
0,0,4,7,,
0,0,5,7,,
0,0,6,7,,
0,0,7,7,,
0,0,8,7,,
0,0,0,8,,
0,0,1,8,,
0,0,2,8,,
0,0,3,8,,
0,0,4,8,,
0,0,5,8,,
0,0,6,8,,
0,0,7,8,,
0,0,8,8,,
