Date,Line_all,value,Line
2019-10-06,Pred,-0.00310277152163262,Pred
2019-10-06,lower.confint,-0.0858552304752278,0.95 confint
2019-10-06,upper.confint,0.0796496874319626,0.95 confint
2019-10-07,Pred,-0.00137582299266744,Pred
2019-10-07,lower.confint,-0.0885001161023252,0.95 confint
2019-10-07,upper.confint,0.0857484701169904,0.95 confint
2019-10-08,Pred,-0.00586340915078833,Pred
2019-10-08,lower.confint,-0.103853457653206,0.95 confint
2019-10-08,upper.confint,0.0921266393516289,0.95 confint
2019-10-09,Pred,-0.00253428489721654,Pred
2019-10-09,lower.confint,-0.0930326210221268,0.95 confint
2019-10-09,upper.confint,0.0879640512276937,0.95 confint
2019-10-10,Pred,-0.00510513624349207,Pred
2019-10-10,lower.confint,-0.108401534018279,0.95 confint
2019-10-10,upper.confint,0.0981912615312949,0.95 confint
2019-10-11,Pred,-0.00167342087368541,Pred
2019-10-11,lower.confint,-0.0979360333538403,0.95 confint
2019-10-11,upper.confint,0.0945891916064694,0.95 confint
2019-10-12,Pred,0.000101854336776029,Pred
2019-10-12,lower.confint,-0.10059442676007,0.95 confint
2019-10-12,upper.confint,0.100798135433622,0.95 confint
2019-10-13,Pred,-0.00268239695520788,Pred
2019-10-13,lower.confint,-0.0969053467306115,0.95 confint
2019-10-13,upper.confint,0.0915405528201958,0.95 confint
2019-10-14,Pred,-0.00216091976018744,Pred
2019-10-14,lower.confint,-0.0888578056910096,0.95 confint
2019-10-14,upper.confint,0.0845359661706347,0.95 confint
2019-10-15,Pred,-0.00277344095504798,Pred
2019-10-15,lower.confint,-0.0868445669849284,0.95 confint
2019-10-15,upper.confint,0.0812976850748324,0.95 confint
2019-10-16,Pred,-0.000871672466535477,Pred
2019-10-16,lower.confint,-0.0854088245606823,0.95 confint
2019-10-16,upper.confint,0.0836654796276113,0.95 confint
2019-10-17,Pred,-0.00154830845326074,Pred
2019-10-17,lower.confint,-0.0855525342462211,0.95 confint
2019-10-17,upper.confint,0.0824559173396997,0.95 confint
2019-10-18,Pred,-0.0033437265455811,Pred
2019-10-18,lower.confint,-0.0849069251616352,0.95 confint
2019-10-18,upper.confint,0.078219472070473,0.95 confint
2019-10-19,Pred,-0.00185325669826661,Pred
2019-10-19,lower.confint,-0.0807012232364816,0.95 confint
2019-10-19,upper.confint,0.0769947098399484,0.95 confint
2019-10-20,Pred,-0.00288898492789256,Pred
2019-10-20,lower.confint,-0.0765855479769243,0.95 confint
2019-10-20,upper.confint,0.0708075781211392,0.95 confint
2019-10-21,Pred,-0.00430330420435283,Pred
2019-10-21,lower.confint,-0.0859927132689031,0.95 confint
2019-10-21,upper.confint,0.0773861048601974,0.95 confint
2019-10-22,Pred,-0.00188073823911526,Pred
2019-10-22,lower.confint,-0.0776569723057726,0.95 confint
2019-10-22,upper.confint,0.0738954958275421,0.95 confint
2019-10-23,Pred,-0.000804097580306772,Pred
2019-10-23,lower.confint,-0.0782528692628404,0.95 confint
2019-10-23,upper.confint,0.0766446741022268,0.95 confint
2019-10-24,Pred,0.000790360766638146,Pred
2019-10-24,lower.confint,-0.0951150137652284,0.95 confint
2019-10-24,upper.confint,0.0966957352985047,0.95 confint
2019-10-25,Pred,-0.00357706836962123,Pred
2019-10-25,lower.confint,-0.0934204484299576,0.95 confint
2019-10-25,upper.confint,0.0862663116907152,0.95 confint
2019-10-26,Pred,-0.0112061714264086,Pred
2019-10-26,lower.confint,-0.173554893872728,0.95 confint
2019-10-26,upper.confint,0.151142551019911,0.95 confint
2019-10-27,Pred,-0.00359178931296511,Pred
2019-10-27,lower.confint,-0.180945823598609,0.95 confint
2019-10-27,upper.confint,0.173762244972678,0.95 confint
2019-10-28,Pred,-0.000720304184385963,Pred
2019-10-28,lower.confint,-0.175561790935355,0.95 confint
2019-10-28,upper.confint,0.174121182566583,0.95 confint
2019-10-29,Pred,0.00307429348738212,Pred
2019-10-29,lower.confint,-0.168791734376128,0.95 confint
2019-10-29,upper.confint,0.174940321350892,0.95 confint
2019-10-30,Pred,-0.000506569553823031,Pred
2019-10-30,lower.confint,-0.164882492350877,0.95 confint
2019-10-30,upper.confint,0.163869353243231,0.95 confint
2019-10-31,Pred,0.0022139057876548,Pred
2019-10-31,lower.confint,-0.158184454517749,0.95 confint
2019-10-31,upper.confint,0.162612266093059,0.95 confint
2019-11-01,Pred,0.00056268594281533,Pred
2019-11-01,lower.confint,-0.148041895997152,0.95 confint
2019-11-01,upper.confint,0.149167267882783,0.95 confint
2019-11-02,Pred,-0.000230615978235232,Pred
2019-11-02,lower.confint,-0.140828269562077,0.95 confint
2019-11-02,upper.confint,0.140367037605607,0.95 confint
2019-11-03,Pred,0.000362544593990787,Pred
2019-11-03,lower.confint,-0.130529810686796,0.95 confint
2019-11-03,upper.confint,0.131254899874778,0.95 confint
2019-11-04,Pred,0.00120726634339315,Pred
2019-11-04,lower.confint,-0.122627104181242,0.95 confint
2019-11-04,upper.confint,0.125041636868028,0.95 confint
2019-11-05,Pred,-0.000478584363426352,Pred
2019-11-05,lower.confint,-0.121312031585646,0.95 confint
2019-11-05,upper.confint,0.120354862858793,0.95 confint
2019-11-06,Pred,0.00135108780610779,Pred
2019-11-06,lower.confint,-0.112795193107333,0.95 confint
2019-11-06,upper.confint,0.115497368719549,0.95 confint
2019-11-07,Pred,0.000517552127729334,Pred
2019-11-07,lower.confint,-0.104814198742142,0.95 confint
2019-11-07,upper.confint,0.1058493029976,0.95 confint
2019-11-08,Pred,0.00139175072355653,Pred
2019-11-08,lower.confint,-0.100728190933672,0.95 confint
2019-11-08,upper.confint,0.103511692380786,0.95 confint
2019-11-09,Pred,0.0025074042419992,Pred
2019-11-09,lower.confint,-0.108952878818362,0.95 confint
2019-11-09,upper.confint,0.11396768730236,0.95 confint
2019-11-10,Pred,-0.000840413881812327,Pred
2019-11-10,lower.confint,-0.103846746866415,0.95 confint
2019-11-10,upper.confint,0.10216591910279,0.95 confint
2019-11-11,Pred,-0.00171171326310582,Pred
2019-11-11,lower.confint,-0.106444175973367,0.95 confint
2019-11-11,upper.confint,0.103020749447155,0.95 confint
2019-11-12,Pred,0.00158933689087257,Pred
2019-11-12,lower.confint,-0.106161510215941,0.95 confint
2019-11-12,upper.confint,0.109340183997686,0.95 confint
2019-11-13,Pred,-0.00122044686716464,Pred
2019-11-13,lower.confint,-0.103750027475907,0.95 confint
2019-11-13,upper.confint,0.101309133741578,0.95 confint
2019-11-14,Pred,-0.000157778955881665,Pred
2019-11-14,lower.confint,-0.0960655834603661,0.95 confint
2019-11-14,upper.confint,0.0957500255486028,0.95 confint
2019-11-15,Pred,0.000114118168083833,Pred
2019-11-15,lower.confint,-0.0931252245451191,0.95 confint
2019-11-15,upper.confint,0.0933534608812868,0.95 confint
2019-11-16,Pred,-1.97249233828412e-07,Pred
2019-11-16,lower.confint,-0.0923892476562781,0.95 confint
2019-11-16,upper.confint,0.0923888531578104,0.95 confint
2019-11-17,Pred,-0.00140589611407381,Pred
2019-11-17,lower.confint,-0.0874710882544762,0.95 confint
2019-11-17,upper.confint,0.0846592960263285,0.95 confint
2019-11-18,Pred,-0.0012264296293956,Pred
2019-11-18,lower.confint,-0.0813467058533925,0.95 confint
2019-11-18,upper.confint,0.0788938465946013,0.95 confint
2019-11-19,Pred,0.000684463858883461,Pred
2019-11-19,lower.confint,-0.0869540050138538,0.95 confint
2019-11-19,upper.confint,0.0883229327316207,0.95 confint
2019-11-20,Pred,-0.00170937665828836,Pred
2019-11-20,lower.confint,-0.0839958572140301,0.95 confint
2019-11-20,upper.confint,0.0805771038974534,0.95 confint
2019-11-21,Pred,-0.00174121632446608,Pred
2019-11-21,lower.confint,-0.07848367825932,0.95 confint
2019-11-21,upper.confint,0.0750012456103878,0.95 confint
2019-11-22,Pred,0.000586613191515206,Pred
2019-11-22,lower.confint,-0.0912483559851133,0.95 confint
2019-11-22,upper.confint,0.0924215823681437,0.95 confint
2019-11-23,Pred,-0.00127040699539092,Pred
2019-11-23,lower.confint,-0.101068684320261,0.95 confint
