Date,Line_all,value,Line
2019-10-06,Pred,-0.00298779333035337,Pred
2019-10-06,lower.confint,-0.0602221690654515,0.95 predint
2019-10-06,upper.confint,0.0542465824047447,0.95 predint
2019-10-07,Pred,-0.00171485502550282,Pred
2019-10-07,lower.confint,-0.0603946013429738,0.95 predint
2019-10-07,upper.confint,0.0569648912919682,0.95 predint
2019-10-08,Pred,-0.00518092556192867,Pred
2019-10-08,lower.confint,-0.069090524390122,0.95 predint
2019-10-08,upper.confint,0.0587286732662646,0.95 predint
2019-10-09,Pred,-0.00249196255067139,Pred
2019-10-09,lower.confint,-0.062824450965761,0.95 predint
2019-10-09,upper.confint,0.0578405258644182,0.95 predint
2019-10-10,Pred,-0.00438977593786997,Pred
2019-10-10,lower.confint,-0.0713357442582837,0.95 predint
2019-10-10,upper.confint,0.0625561923825438,0.95 predint
2019-10-11,Pred,-0.00160758746699629,Pred
2019-10-11,lower.confint,-0.0647791640728329,0.95 predint
2019-10-11,upper.confint,0.0615639891388403,0.95 predint
2019-10-12,Pred,-0.00030709775443373,Pred
2019-10-12,lower.confint,-0.0650151611142312,0.95 predint
2019-10-12,upper.confint,0.0644009656053638,0.95 predint
2019-10-13,Pred,-0.00254256245301167,Pred
2019-10-13,lower.confint,-0.0637125406760438,0.95 predint
2019-10-13,upper.confint,0.0586274157700205,0.95 predint
2019-10-14,Pred,-0.00212543965563287,Pred
2019-10-14,lower.confint,-0.0599289721325533,0.95 predint
2019-10-14,upper.confint,0.0556780928212876,0.95 predint
2019-10-15,Pred,-0.00258051782669976,Pred
2019-10-15,lower.confint,-0.0578913861628178,0.95 predint
2019-10-15,upper.confint,0.0527303505094183,0.95 predint
2019-10-16,Pred,-0.00112578550736562,Pred
2019-10-16,lower.confint,-0.0556887039054443,0.95 predint
2019-10-16,upper.confint,0.0534371328907131,0.95 predint
2019-10-17,Pred,-0.0017438656790712,Pred
2019-10-17,lower.confint,-0.0550603757711895,0.95 predint
2019-10-17,upper.confint,0.0515726444130471,0.95 predint
