Date,Line_all,value,Line
2019-10-06,Pred,-0.00298779908409388,Pred
2019-10-06,lower.confint,-0.0605126312001507,0.95 confint
2019-10-06,upper.confint,0.054537033031963,0.95 confint
2019-10-07,Pred,-0.00171485516532238,Pred
2019-10-07,lower.confint,-0.0606923851622793,0.95 confint
2019-10-07,upper.confint,0.0572626748316345,0.95 confint
2019-10-08,Pred,-0.00518093927234449,Pred
2019-10-08,lower.confint,-0.0694148475740466,0.95 confint
2019-10-08,upper.confint,0.0590529690293576,0.95 confint
2019-10-09,Pred,-0.00249196694267594,Pred
2019-10-09,lower.confint,-0.0631306203748862,0.95 confint
2019-10-09,upper.confint,0.0581466864895343,0.95 confint
2019-10-10,Pred,-0.00438978866470493,Pred
2019-10-10,lower.confint,-0.07167546863862,0.95 confint
2019-10-10,upper.confint,0.0628958913092101,0.95 confint
2019-10-11,Pred,-0.00160759065437751,Pred
2019-10-11,lower.confint,-0.0650997341555702,0.95 confint
2019-10-11,upper.confint,0.0618845528468152,0.95 confint
2019-10-12,Pred,-0.000307095118924648,Pred
2019-10-12,lower.confint,-0.0653435175688105,0.95 confint
2019-10-12,upper.confint,0.0647293273309612,0.95 confint
2019-10-13,Pred,-0.0025425676929724,Pred
2019-10-13,lower.confint,-0.0640229584195662,0.95 confint
2019-10-13,upper.confint,0.0589378230336214,0.95 confint
2019-10-14,Pred,-0.00212544340818026,Pred
2019-10-14,lower.confint,-0.0602223123010676,0.95 confint
2019-10-14,upper.confint,0.0559714254847071,0.95 confint
2019-10-15,Pred,-0.00258052354489664,Pred
2019-10-15,lower.confint,-0.0581720843496393,0.95 confint
2019-10-15,upper.confint,0.053011037259846,0.95 confint
2019-10-16,Pred,-0.00112578538147154,Pred
2019-10-16,lower.confint,-0.0559655999007101,0.95 confint
2019-10-16,upper.confint,0.053714029137767,0.95 confint
2019-10-17,Pred,-0.0017438669873741,Pred
2019-10-17,lower.confint,-0.055330949953005,0.95 confint
2019-10-17,upper.confint,0.0518432159782567,0.95 confint
2019-10-18,Pred,-0.00315500910395306,Pred
2019-10-18,lower.confint,-0.0546576547269924,0.95 confint
2019-10-18,upper.confint,0.0483476365190863,0.95 confint
2019-10-19,Pred,-0.00199646246515647,Pred
2019-10-19,lower.confint,-0.0516076664838621,0.95 confint
2019-10-19,upper.confint,0.0476147415535491,0.95 confint
2019-10-20,Pred,-0.00282466145519271,Pred
2019-10-20,lower.confint,-0.050060216840316,0.95 confint
2019-10-20,upper.confint,0.0444108939299306,0.95 confint
2019-10-21,Pred,-0.00384198479812091,Pred
2019-10-21,lower.confint,-0.0551502701535326,0.95 confint
