Date,Line_all,value,Line
2019-10-06,Pred,-0.00298779333035337,Pred
2019-10-06,lower.confint,-0.0602124741334861,0.95 confint
2019-10-06,upper.confint,0.0542368874727794,0.95 confint
2019-10-07,Pred,-0.00171485502550282,Pred
2019-10-07,lower.confint,-0.0603846615796588,0.95 confint
2019-10-07,upper.confint,0.0569549515286531,0.95 confint
2019-10-08,Pred,-0.00518092556192867,Pred
2019-10-08,lower.confint,-0.0690796987419933,0.95 confint
2019-10-08,upper.confint,0.058717847618136,0.95 confint
2019-10-09,Pred,-0.00249196255067139,Pred
2019-10-09,lower.confint,-0.0628142312444315,0.95 confint
2019-10-09,upper.confint,0.0578303061430887,0.95 confint
2019-10-10,Pred,-0.00438977593786997,Pred
2019-10-10,lower.confint,-0.0713244042794706,0.95 confint
2019-10-10,upper.confint,0.0625448524037306,0.95 confint
2019-10-11,Pred,-0.00160758746699629,Pred
2019-10-11,lower.confint,-0.0647684634383021,0.95 confint
2019-10-11,upper.confint,0.0615532885043095,0.95 confint
2019-10-12,Pred,-0.00030709775443373,Pred
2019-10-12,lower.confint,-0.0650042002141808,0.95 confint
2019-10-12,upper.confint,0.0643900047053133,0.95 confint
2019-10-13,Pred,-0.00254256245301167,Pred
2019-10-13,lower.confint,-0.0637021790923002,0.95 confint
2019-10-13,upper.confint,0.0586170541862769,0.95 confint
2019-10-14,Pred,-0.00212543965563287,Pred
2019-10-14,lower.confint,-0.059919180791117,0.95 confint
2019-10-14,upper.confint,0.0556683014798512,0.95 confint
2019-10-15,Pred,-0.00258051782669976,Pred
2019-10-15,lower.confint,-0.0578820170538064,0.95 confint
2019-10-15,upper.confint,0.0527209814004069,0.95 confint
2019-10-16,Pred,-0.00112578550736562,Pred
2019-10-16,lower.confint,-0.0556794614916867,0.95 confint
2019-10-16,upper.confint,0.0534278904769555,0.95 confint
2019-10-17,Pred,-0.0017438656790712,Pred
2019-10-17,lower.confint,-0.055051344486558,0.95 confint
2019-10-17,upper.confint,0.0515636131284156,0.95 confint
